p1,p2,rank,fs,w1sp,w2sp,wsp,wrp,tpw,aces,df,bpc,bps,bpo,bpw,tmw,complete,serveadv,h2h,fatigue,uncertainty,winner,tourney_id,year,p1_odd,p2_odd
Frances Tiafoe,Miomir Kecmanovic,24.0,0.014020086124600815,0.02939877606350438,-0.013357780635964269,0.0142846890603191,-0.006804861827626296,0.0017737919148747559,0.15260935789660396,0.01286099734626714,-0.14418531383679656,-0.08713606528544471,0.028836477158373286,-0.005941142535266619,0.08908045977011486,0.0005,0.007479827232692805,1.0,1.0,0.0417426449593158,0,93.0,2020,1.57,2.25
Mikhail Kukushkin,Federico Delbonis,15.0,0.013441481314733106,-0.03160800683817211,0.024688921175633042,-0.010182339835801413,0.011065946640449407,-0.0007927444440152254,-0.04818847187296743,-0.18485298644645204,0.07383560026985493,0.01220086888674532,0.04303802106561983,0.00260994285982924,0.06633249791144519,0.0031,0.0008836068046479961,-1.0,0.0,0.035447325182371384,0,93.0,2020,1.33,3.25
Jordan Thompson,Cameron Norrie,-10.0,-0.029901213282209405,0.02110773560001633,0.01929679793546546,0.016847630184418705,-0.001479437241189041,0.005912017807697456,0.05019948778857758,-0.14475611780094014,-0.15494192027343867,-0.07257210175067075,-0.027283713776031168,-0.07173228421531114,-0.003086419753086378,0.0049,0.015368192943229662,-0.3333,0.0,0.0458654551008515,0,93.0,2020,2.37,1.53
Yuichi Sugita,Damir Dzumhur,-14.0,-0.02060259758441408,0.04563232960134167,-0.023483944610826143,0.016791913681510118,-0.047780335680677855,-0.012649001803638205,0.09103727748087163,-0.028911889094077686,-0.027456803619285708,0.052378545926287656,-0.09342471293369398,-0.14604339901500585,-0.17753623188405804,-0.0222,-0.030988421999167737,0.0,0.0,0.04456065547530631,0,93.0,2020,3.0,1.36
Tommy Paul,Stefano Travaglia,-14.0,0.019987810122355287,-0.06600630694140562,0.04050254730504388,-0.020912363752785268,-0.017738241229010132,-0.023997601800449908,-0.19204238743712432,-0.08022175193227822,0.00722048419416843,0.09390882509303557,-0.046399214820267376,-0.006988304093567155,-0.4,-0.0188,-0.0386506049817954,0.0,0.0,0.8269646032686931,0,93.0,2020,1.57,2.25
James Duckworth,Fernando Verdasco,36.0,-0.09124793085881422,-0.016244731767394386,-0.005980042183503342,-0.03293454420781239,-0.06739636793856546,-0.040699885806339486,0.1877135649036933,0.03974689487256017,0.15710620579905574,0.07016303755041076,-0.2286517540993019,-0.0181849884733124,-0.2710144927536232,-0.054000000000000006,-0.10033091214637783,-1.0,0.0,0.08809872719785919,1,93.0,2020,2.62,1.44
Jiri Vesely,Tennys Sandgren,18.0,0.016964058829853412,-0.04615973741374657,0.0018474666653616192,-0.024956626849074626,-0.014428967846494056,-0.01879201779383355,-0.1970906039304603,0.11600878734227575,0.07731623188194486,-0.09733734594089184,-0.05212274026983416,-0.007539364953374539,-0.07453703703703701,-0.0179,-0.03938559469556868,0.0,0.0,0.07702495595243224,0,93.0,2020,2.2,1.61
Lloyd Harris,Egor Gerasimov,-3.0,0.0014243420042707733,-0.06592914109688086,-0.08135342484933455,-0.07208566129268335,0.0041917079849269605,-0.03870212495045562,0.11121120165237786,-0.06506095849168607,0.1743777528800749,-0.2376906318082789,0.14345545611509253,-0.08065414297031942,-0.4583333333333333,-0.0223,-0.06789395330775637,-1.0,0.0,0.14955473368250172,1,93.0,2020,2.05,1.7
Frances Tiafoe,Corentin Moutet,-10.0,-0.033890145903379576,0.019360780528922542,0.06559885380637254,0.02863439141531776,0.007131489680499038,0.016447253112692517,0.22474146011693466,-0.1714498262899118,-0.09265905463394952,0.10734039489163473,0.08343985200154093,-0.04351777946640012,0.0245098039215686,0.0141,0.0357658810958168,-1.0,0.0,0.08041562293621342,0,93.0,2020,1.44,2.62
Andrey Rublev,Lorenzo Sonego,-34.0,-0.043968640575156925,0.015366651315811497,0.0424184354405055,0.015331140306533153,0.07857158327341379,0.043993465344886684,0.02869716881165435,0.061558029772607936,-0.041109128638299575,0.0869585900223554,0.2256671570661199,0.15104004624095313,0.28039215686274505,0.0574,0.09390272357994696,0.0,-0.2211,0.03832225626124791,0,61.0,2020,1.14,5.5
Lorenzo Sonego,Daniel Evans,9.0,0.01829756515216352,0.0201099387144198,-0.020080095960568256,0.011082628631727045,-0.045981093252460366,-0.014127163313522872,0.17116171122355586,-0.050266140010749936,-0.016629814372467022,0.05700446216424404,-0.18818181175179927,-0.07504255170891411,-0.06,-0.0255,-0.034898464620733316,0.0,-0.2844,0.08559295071248392,0,61.0,2020,2.25,1.57
Lorenzo Sonego,Novak Djokovic,41.0,-0.03001634748877802,-0.02569213510443813,-0.09220252961377973,-0.05483092149972957,-0.11588368806887678,-0.0786839272257912,0.07025817481138186,-0.013762858530469295,0.16754561618757285,-0.07325582634593852,-0.35339132202091256,-0.15679710342874414,-0.5574955908289243,-0.0979,-0.17071460956860635,0.0,-0.2727,0.03166425921726535,0,61.0,2020,15.0,1.03
Grigor Dimitrov,Daniel Evans,-13.0,0.01804798798938545,0.05725635212723279,0.012084731076021149,0.04464850079581262,-0.0034991822832948216,0.019583316860311117,0.1841236833559957,0.05930240068872819,-0.15709834415648932,0.04474924558358784,-0.04952446242878295,0.021520763548728783,0.1443695717280623,0.0144,0.0411493185125178,0.5,0.1429,0.018250527360323843,1,61.0,2020,1.44,2.62
Kevin Anderson,Daniil Medvedev,105.0,0.028747366735686782,0.04636758141674813,0.019111892851096046,0.040428831300826966,-0.048256089757453935,-0.006807477640493165,0.4359851061724917,-0.03171633783173847,-0.1172057721106225,0.0656620103439175,-0.20063511944541146,-0.05752694744679032,0.06159863945578204,-0.0181,-0.007827258456626962,0.0,0.325,0.009032476379176507,0,61.0,2020,4.33,1.2
Andrey Rublev,Dominic Thiem,5.0,-0.011235065174779344,-0.020372120032783655,-0.037736474463138985,-0.02880211086726636,0.018372047823914328,-0.006651977480442661,-0.04805210082989986,0.05157113391602552,0.09051861370016576,-0.04547646595278432,0.05583106434551832,0.018778452909096133,-0.11764995421245428,0.001,-0.010430063043352034,-0.3333,-0.3929,0.008450648811725327,0,61.0,2020,2.0,1.75
Borna Coric,Novak Djokovic,23.0,-0.03235338472606919,-0.04485214678869631,-0.03703507709408649,-0.04780813706088405,-0.07357247664738009,-0.0570108744088873,-0.004876515629988532,-0.024166440290052937,0.17193628005792885,-0.05788694351395918,-0.2241266751751152,-0.07383091462848818,-0.3317725403251719,-0.0681,-0.12138061370826415,-1.0,-0.0244,0.0065503297568073,1,61.0,2020,6.0,1.12
Hubert Hurkacz,Lorenzo Sonego,-11.0,-0.021303146398134132,-0.0058084646322859035,0.03287598660648061,0.0013474406133424655,0.04967553608475761,0.02417768782925428,0.15282482194017538,0.07433619628247258,-0.03779210821415285,-0.03990523070934216,0.11303546576052205,0.033755844768320165,0.1515151515151515,0.032,0.05102297669810008,0.0,1.0,0.08841910599654132,1,61.0,2020,1.4,2.75
